1,1
2,2
4,3
12,4
10,4
5,5
14,5
8,6
15,7
16,8
18,9
21,10
22,11
24,12
23,13
25,14
28,15
30,16
31,9
32,17
33,18
34,19
35,17
36,17
37,20
38,8
40,8
39,8
41,21
42,22
44,17
46,23
52,24
45,25
51,26
50,24
49,27
48,28
47,28
53,29
55,30
54,31
57,32
56,33
67,34
59,35
60,36
61,37
64,38
63,39
68,40
66,41
69,42
70,43
73,26
65,44
71,25
74,45
75,28
76,46
79,19
78,19
80,10
77,47
72,25
87,48
85,49
81,50
83,10
84,51
86,52
88,53
91,54
89,55
94,56
95,57
97,55
99,12
93,54
90,58
98,59
101,60
103,55
102,61
106,62
110,63
108,64
109,63
107,64
112,65
111,55
113,66
114,67
115,68
118,69
119,70
120,44
122,71
116,70
121,72
117,27
124,73
123,74
125,75
127,45
128,36
126,76
129,36
130,69
133,77
132,49
136,78
135,70
138,11
139,35
140,69
141,79
148,80
149,81
150,82
145,35
151,70
152,83
153,36
154,36
155,28
157,68
156,35
159,84
160,69
161,85
163,85
162,85
164,85
166,86
165,87
168,88
167,89
170,71
169,61
171,90
172,70
173,91
174,91
175,92
176,24
178,73
179,73
180,27
181,27
183,93
184,84
182,27
185,94
186,94
187,95
188,78
189,78
191,43
193,30
190,73
194,27
192,30
198,96
196,30
199,30
197,9
201,97
202,98
204,99
203,100
206,83
208,69
207,101
210,36
209,101
212,102
211,102
213,103
215,36
216,36
214,36
219,64
220,104
217,36
221,105
224,106
223,106
225,107
226,107
227,108
228,108
229,109
233,110
238,111
236,64
235,64
240,54
239,54
237,106
241,112
243,113
245,60
244,60
246,69
248,69
250,114
252,55
255,55
258,115
257,116
256,116
254,55
262,117
264,117
261,118
265,119
267,95
269,95
266,62
270,120
271,26
273,40
274,40
275,40
276,121
277,95
278,122
279,71
280,30
281,123
282,35
283,105
284,69
287,35
285,124
286,69
291,107
292,35
294,69
293,92
295,68
297,125
296,81
298,19
300,126
303,66
302,66
301,66
304,127
308,112
307,112
305,62
309,128
310,120
311,30
313,30
312,30
315,129
317,68
320,130
321,124
322,131
323,70
325,30
327,66
328,33
329,127
330,62
334,132
333,37
335,67
336,27
337,90
339,124
349,80
351,122
352,120
356,69
355,69
357,94
361,125
362,66
358,133
359,133
360,133
363,133
364,125
365,134
366,124
367,94
368,87
371,127
372,124
375,85
376,85
374,85
377,125
380,129
381,135
378,129
379,129
384,63
385,136
382,26
386,63
387,63
388,81
389,81
390,137
391,81
393,47
395,30
396,43
394,138
397,83
398,124
399,139
401,63
402,140
404,101
405,75
407,133
408,69
409,141
410,142
411,143
412,71
413,84
414,144
416,88
415,88
419,145
418,21
420,12
421,22
424,146
427,147
423,76
426,87
429,69
430,148
428,126
432,69
438,63
437,149
440,63
434,150
439,63
442,125
433,151
436,150
444,140
435,152
441,153
445,69
451,154
453,35
452,4
446,69
455,47
460,47
459,47
461,83
462,69
465,155
464,63
466,63
469,63
470,63
467,63
463,63
471,68
474,133
472,133
475,156
473,133
478,157
480,158
481,70
477,106
479,158
476,159
482,124
486,118
484,160
487,161
483,84
485,118
488,162
491,113
489,118
490,45
492,104
495,69
496,124
497,30
498,63
501,25
499,80
502,35
503,35
504,163
505,107
506,69
507,69
509,125
508,94
512,133
510,133
514,73
515,164
513,73
517,48
519,118
520,45
524,46
521,49
525,116
528,50
523,19
530,51
536,19
526,165
527,51
537,166
534,19
540,51
535,49
533,48
529,167
531,166
532,28
539,19
538,49
541,19
545,85
543,48
542,77
549,85
547,168
551,62
552,49
554,49
557,116
555,122
559,10
553,169
558,55
561,170
562,107
560,61
563,27
566,10
570,171
571,30
572,67
568,172
573,9
574,173
575,173
577,174
579,14
578,174
581,84
582,100
587,175
591,176
592,177
601,178
586,177
602,129
605,133
608,179
607,133
603,180
606,133
609,176
610,181
604,180
613,83
614,106
617,182
616,182
618,65
620,183
622,184
624,129
619,69
623,185
621,186
625,187
626,174
627,103
628,35
629,70
631,183
630,30
633,188
637,182
634,167
638,161
642,41
654,161
649,166
645,189
640,19
647,190
653,161
635,154
648,161
651,80
639,191
658,25
646,50
659,192
656,55
644,116
641,193
665,72
661,41
660,19
655,166
670,106
672,194
666,161
669,195
673,159
667,196
674,197
675,198
677,169
676,112
668,62
681,199
683,200
680,121
679,55
678,77
671,161
688,30
690,201
692,158
693,166
691,127
694,184
695,156
696,35
698,69
699,66
700,127
701,80
702,174
703,126
706,133
707,179
704,133
705,133
708,179
709,202
710,203
712,204
713,12
714,26
715,26
716,205
